e0,e1,e2,e4,e5,e6,e9,e10,e11,e15,e18,e21,e22,e23
444,85.0,86.0,90.0,80.0,75.0,73.0,50.0,82.0,46.0,83.0,76.0,65.0,54
445,83.0,74.0,91.0,80.0,69.0,86.0,90.0,49.0,93.0,83.0,85.0,73.0,46
446,100.0,100.0,100.0,100.0,100.0,94.0,100.0,100.0,86.0,100.0,100.0,100.0,100
447,79.0,89.0,100.0,77.0,75.0,100.0,95.0,89.0,93.0,81.0,61.0,59.0,77
449,88.0,85.0,100.0,86.0,100.0,100.0,100.0,100.0,84.0,89.0,68.0,100.0,70
450,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
451,92.0,73.0,100.0,65.0,73.0,92.0,80.0,85.0,56.0,67.0,91.0,86.0,100
452,89.0,88.0,86.0,67.0,69.0,92.0,66.0,79.0,70.0,79.0,82.0,70.0,83
453,97.0,95.0,98.0,54.0,53.0,83.0,100.0,96.0,67.0,74.0,56.0,50.0,71
454,43.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,37.0,54.0,50.0,37.0,51
456,97.0,98.0,97.0,81.0,94.0,95.0,93.0,95.0,81.0,85.0,85.0,78.0,90
457,96.0,91.0,96.0,71.0,77.0,94.0,62.0,92.0,63.0,89.0,96.0,60.0,73
458,85.0,100.0,100.0,100.0,92.0,100.0,100.0,81.0,80.0,100.0,100.0,100.0,100
459,100.0,92.0,100.0,86.0,75.0,81.0,66.0,65.0,57.0,84.0,90.0,52.0,72
460,51.0,88.0,61.0,51.0,58.0,75.0,62.0,61.0,32.0,53.0,56.0,35.0,73
461,88.0,97.0,100.0,50.0,3.0,50.0,100.0,100.0,80.0,94.0,100.0,14.0,83
462,7.0,10.0,11.0,42.0,14.0,93.0,9.0,10.0,54.0,64.0,27.0,19.0,17
463,89.0,100.0,96.0,78.0,36.0,70.0,46.0,46.0,22.0,18.0,86.0,29.0,44
464,86.0,83.0,93.0,85.0,84.0,97.0,75.0,81.0,86.0,75.0,74.0,69.0,66
465,87.0,92.0,88.0,81.0,79.0,94.0,50.0,85.0,83.0,96.0,88.0,50.0,97
466,100.0,100.0,100.0,86.0,88.0,100.0,88.0,100.0,65.0,100.0,83.0,72.0,67
467,100.0,100.0,100.0,100.0,94.0,100.0,100.0,100.0,87.0,92.0,96.0,70.0,100
468,96.0,100.0,100.0,59.0,100.0,97.0,92.0,96.0,92.0,64.0,97.0,75.0,66
469,90.0,93.0,97.0,71.0,60.0,91.0,85.0,80.0,74.0,89.0,93.0,33.0,92
470,99.0,97.0,98.0,89.0,96.0,69.0,79.0,75.0,93.0,93.0,70.0,95.0,94
